DATE,IRSTCI01DEM156N
1960-01-01,3.84
1960-02-01,3.87
1960-03-01,4.25
1960-04-01,4
1960-05-01,3.96
1960-06-01,4.96
1960-07-01,4.91
1960-08-01,4.91
1960-09-01,5.34
1960-10-01,5.43
1960-11-01,4.84
1960-12-01,4.46
1961-01-01,4.17
1961-02-01,3.41
1961-03-01,3.21
1961-04-01,2.96
1961-05-01,2.9
1961-06-01,2.58
1961-07-01,2.87
1961-08-01,2.26
1961-09-01,2.82
1961-10-01,2.26
1961-11-01,2.74
1961-12-01,3
1962-01-01,1.8
1962-02-01,1.93
1962-03-01,3.01
1962-04-01,2.73
1962-05-01,2.4
1962-06-01,3.17
1962-07-01,2.91
1962-08-01,2.58
1962-09-01,3.05
1962-10-01,2.39
1962-11-01,2.55
1962-12-01,3.42
1963-01-01,2.6
1963-02-01,2.93
1963-03-01,3.36
1963-04-01,3.16
1963-05-01,3.12
1963-06-01,3.59
1963-07-01,3.04
1963-08-01,2.67
1963-09-01,2.99
1963-10-01,2.83
1963-11-01,2.73
1963-12-01,2.93
1964-01-01,2.64
1964-02-01,2.87
1964-03-01,3.26
1964-04-01,3.36
1964-05-01,3.33
1964-06-01,3.33
1964-07-01,3.26
1964-08-01,3.63
1964-09-01,3.63
1964-10-01,3.72
1964-11-01,3.1
1964-12-01,3.33
1965-01-01,2.64
1965-02-01,3.42
1965-03-01,4.09
1965-04-01,4.23
1965-05-01,3.78
1965-06-01,4.41
1965-07-01,4.34
1965-08-01,3.81
1965-09-01,4.77
1965-10-01,4.85
1965-11-01,4.24
1965-12-01,4.67
1966-01-01,4.12
1966-02-01,4.47
1966-03-01,5.07
1966-04-01,5.33
1966-05-01,5.07
1966-06-01,6.11
1966-07-01,6.2
1966-08-01,5.33
1966-09-01,5.61
1966-10-01,5.72
1966-11-01,5.19
1966-12-01,5.85
1967-01-01,4.92
1967-02-01,5.1
1967-03-01,4.26
1967-04-01,4.24
1967-05-01,2.89
1967-06-01,3.8
1967-07-01,2.41
1967-08-01,2.45
1967-09-01,3.12
1967-10-01,2.06
1967-11-01,2.16
1967-12-01,2.77
1968-01-01,2.26
1968-02-01,2.85
1968-03-01,2.69
1968-04-01,2.72
1968-05-01,2.99
1968-06-01,2.68
1968-07-01,2.43
1968-08-01,3.07
1968-09-01,2.66
1968-10-01,3.18
1968-11-01,1.64
1968-12-01,1.94
1969-01-01,3.3
1969-02-01,3.27
1969-03-01,3.63
1969-04-01,2.46
1969-05-01,1.63
1969-06-01,5.02
1969-07-01,5.8
1969-08-01,5.87
1969-09-01,4.03
1969-10-01,6.68
1969-11-01,7.64
1969-12-01,8.35
1970-01-01,9.09
1970-02-01,8.48
1970-03-01,9.53
1970-04-01,9.65
1970-05-01,9.18
1970-06-01,8.72
1970-07-01,8.8
1970-08-01,7.83
1970-09-01,9.14
1970-10-01,7.44
1970-11-01,8.43
1970-12-01,7.47
1971-01-01,7.6
1971-02-01,7.27
1971-03-01,7.36
1971-04-01,4.23
1971-05-01,3.33
1971-06-01,6.94
1971-07-01,6.22
1971-08-01,6.21
1971-09-01,6.99
1971-10-01,7.49
1971-11-01,4.54
1971-12-01,5.77
1972-01-01,4.2
1972-02-01,4.15
1972-03-01,3.88
1972-04-01,3.77
1972-05-01,2.95
1972-06-01,2.65
1972-07-01,2.24
1972-08-01,4.48
1972-09-01,4.83
1972-10-01,6.07
1972-11-01,5.71
1972-12-01,6.69
1973-01-01,5.58
1973-02-01,2.18
1973-03-01,11.37
1973-04-01,14.84
1973-05-01,7.4
1973-06-01,10.9
1973-07-01,15.78
1973-08-01,10.63
1973-09-01,9.76
1973-10-01,10.57
1973-11-01,11.3
1973-12-01,11.89
1974-01-01,10.4
1974-02-01,9.13
1974-03-01,11.63
1974-04-01,5.33
1974-05-01,8.36
1974-06-01,8.79
1974-07-01,9.4
1974-08-01,9.3
1974-09-01,9.22
1974-10-01,9.1
1974-11-01,7.38
1974-12-01,8.35
1975-01-01,7.71
1975-02-01,4.25
1975-03-01,4.85
1975-04-01,4.69
1975-05-01,5.41
1975-06-01,4.98
1975-07-01,4.12
1975-08-01,1.87
1975-09-01,4.33
1975-10-01,3.33
1975-11-01,3.39
1975-12-01,3.92
1976-01-01,3.58
1976-02-01,3.28
1976-03-01,3.64
1976-04-01,2.81
1976-05-01,3.71
1976-06-01,4.31
1976-07-01,4.48
1976-08-01,4.21
1976-09-01,4.33
1976-10-01,3.26
1976-11-01,3.98
1976-12-01,5.03
1977-01-01,4.57
1977-02-01,4.36
1977-03-01,4.53
1977-04-01,4.52
1977-05-01,4.1
1977-06-01,4.13
1977-07-01,4.26
1977-08-01,4.03
1977-09-01,4.01
1977-10-01,3.98
1977-11-01,3.94
1977-12-01,3.24
1978-01-01,3.37
1978-02-01,3.34
1978-03-01,3.55
1978-04-01,3.53
1978-05-01,3.54
1978-06-01,3.55
1978-07-01,3.4
1978-08-01,3.23
1978-09-01,3.51
1978-10-01,3.07
1978-11-01,2.67
1978-12-01,3.56
1979-01-01,2.99
1979-02-01,3.81
1979-03-01,4.32
1979-04-01,5.24
1979-05-01,5.16
1979-06-01,5.6
1979-07-01,5.73
1979-08-01,6.36
1979-09-01,6.5
1979-10-01,7.87
1979-11-01,7.86
1979-12-01,9.02
1980-01-01,8.25
1980-02-01,8.06
1980-03-01,8.61
1980-04-01,9.05
1980-05-01,9.8
1980-06-01,10.04
1980-07-01,9.8
1980-08-01,8.92
1980-09-01,9.27
1980-10-01,9.01
1980-11-01,8.76
1980-12-01,9.16
1981-01-01,9.09
1981-02-01,10.38
1981-03-01,11.97
1981-04-01,11.31
1981-05-01,11.83
1981-06-01,11.93
1981-07-01,11.98
1981-08-01,11.97
1981-09-01,12
1981-10-01,11.3
1981-11-01,10.81
1981-12-01,10.58
1982-01-01,10.1
1982-02-01,10.06
1982-03-01,9.83
1982-04-01,9.47
1982-05-01,9.11
1982-06-01,9.02
1982-07-01,9.02
1982-08-01,8.78
1982-09-01,7.97
1982-10-01,7.46
1982-11-01,7.02
1982-12-01,6.15
1983-01-01,5.85
1983-02-01,5.74
1983-03-01,5.51
1983-04-01,4.93
1983-05-01,5.04
1983-06-01,5.05
1983-07-01,5.05
1983-08-01,5.06
1983-09-01,5.42
1983-10-01,5.53
1983-11-01,5.57
1983-12-01,5.61
1984-01-01,5.56
1984-02-01,5.53
1984-03-01,5.53
1984-04-01,5.49
1984-05-01,5.54
1984-06-01,5.52
1984-07-01,5.56
1984-08-01,5.52
1984-09-01,5.55
1984-10-01,5.61
1984-11-01,5.51
1984-12-01,5.62
1985-01-01,5.52
1985-02-01,5.78
1985-03-01,5.85
1985-04-01,5.7
1985-05-01,5.67
1985-06-01,5.52
1985-07-01,5.13
1985-08-01,4.77
1985-09-01,4.59
1985-10-01,4.54
1985-11-01,4.61
1985-12-01,4.64
1986-01-01,4.58
1986-02-01,4.59
1986-03-01,4.9
1986-04-01,4.76
1986-05-01,4.3
1986-06-01,4.39
1986-07-01,4.61
1986-08-01,4.49
1986-09-01,4.39
1986-10-01,4.41
1986-11-01,4.45
