Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-01-04,256.02,256.02,256.02,256.02,0,0,0
1988-01-05,258.77,258.77,258.77,258.77,0,0,0
1988-01-06,259.03,259.03,259.03,259.03,0,0,0
1988-01-07,261.21,261.21,261.21,261.21,0,0,0
1988-01-08,243.55,243.55,243.55,243.55,0,0,0
1988-01-11,247.67,247.67,247.67,247.67,0,0,0
1988-01-12,245.6,245.6,245.6,245.6,0,0,0
1988-01-13,246.02,246.02,246.02,246.02,0,0,0
1988-01-14,246.09,246.09,246.09,246.09,0,0,0
1988-01-15,252.29,252.29,252.29,252.29,0,0,0
1988-01-18,252.12,252.12,252.12,252.12,0,0,0
1988-01-19,249.57,249.57,249.57,249.57,0,0,0
1988-01-20,242.87,242.87,242.87,242.87,0,0,0
1988-01-21,243.38,243.38,243.38,243.38,0,0,0
1988-01-22,246.75,246.75,246.75,246.75,0,0,0
1988-01-25,252.51,252.51,252.51,252.51,0,0,0
1988-01-26,249.95,249.95,249.95,249.95,0,0,0
1988-01-27,249.76,249.76,249.76,249.76,0,0,0
1988-01-28,253.67,253.67,253.67,253.67,0,0,0
1988-01-29,257.47,257.47,257.47,257.47,0,0,0
1988-02-01,255.51,255.51,255.51,255.51,0,0,0
1988-02-02,256.15,256.15,256.15,256.15,0,0,0
1988-02-03,252.79,252.79,252.79,252.79,0,0,0
1988-02-04,252.97,252.97,252.97,252.97,0,0,0
1988-02-05,251.92,251.92,251.92,251.92,0,0,0
1988-02-08,250.1,250.1,250.1,250.1,0,0,0
1988-02-09,252.77,252.77,252.77,252.77,0,0,0
1988-02-10,257.76,257.76,257.76,257.76,0,0,0
1988-02-11,257.06,257.06,257.06,257.06,0,0,0
1988-02-12,258.87,258.87,258.87,258.87,0,0,0
1988-02-16,261.14,261.14,261.14,261.14,0,0,0
1988-02-17,260.54,260.54,260.54,260.54,0,0,0
1988-02-18,259.23,259.23,259.23,259.23,0,0,0
1988-02-19,262.96,262.96,262.96,262.96,0,0,0
1988-02-22,267.08,267.08,267.08,267.08,0,0,0
1988-02-23,266.48,266.48,266.48,266.48,0,0,0
1988-02-24,265.96,265.96,265.96,265.96,0,0,0
1988-02-25,263.1,263.1,263.1,263.1,0,0,0
1988-02-26,263.99,263.99,263.99,263.99,0,0,0
1988-02-29,269.48,269.48,269.48,269.48,0,0,0
1988-03-01,269.44,269.44,269.44,269.44,0,0,0
1988-03-02,269.75,269.75,269.75,269.75,0,0,0
1988-03-03,269.65,269.65,269.65,269.65,0,0,0
1988-03-04,269.1,269.1,269.1,269.1,0,0,0
1988-03-07,269.22,269.22,269.22,269.22,0,0,0
1988-03-08,271.34,271.34,271.34,271.34,0,0,0
1988-03-09,271.03,271.03,271.03,271.03,0,0,0
1988-03-10,265.78,265.78,265.78,265.78,0,0,0
1988-03-11,266.9,266.9,266.9,266.9,0,0,0
1988-03-14,268.36,268.36,268.36,268.36,0,0,0
1988-03-15,268.13,268.13,268.13,268.13,0,0,0
1988-03-16,270.87,270.87,270.87,270.87,0,0,0
1988-03-17,273.27,273.27,273.27,273.27,0,0,0
1988-03-18,273.18,273.18,273.18,273.18,0,0,0
1988-03-21,270.79,270.79,270.79,270.79,0,0,0
